//X,Y,Z,M3C2 distance,R,G,B,Nx,Ny,Nz
47729.383,36120.277,2052.239,2.123,30,27,30,0.685564,-0.727623,0.023833
47729.941,36120.988,2053.111,2.150,31,28,31,0.879904,-0.263219,0.395581
47729.234,36122.113,2053.517,2.150,41,36,38,0.655089,0.165672,0.737165
47729.195,36120.176,2052.775,2.123,27,25,28,0.600976,-0.768690,0.218960
47729.578,36120.504,2053.532,2.156,30,27,31,0.691209,-0.533888,0.487026
47729.020,36120.969,2054.377,2.156,40,35,36,0.434883,-0.061347,0.898395
47728.996,36123.980,2053.031,1.854,52,45,45,0.579974,0.267073,0.769612
47729.480,36121.375,2053.782,2.150,38,35,37,0.662886,-0.006919,0.748688
47727.414,36124.637,2048.857,0.366,132,122,124,-0.758898,-0.139206,0.636157
47727.926,36123.559,2049.250,1.360,114,106,108,-0.726271,-0.020990,0.687088
47727.828,36122.320,2049.244,1.405,88,81,82,-0.695648,0.139731,0.704663
47728.441,36121.543,2050.016,1.795,61,55,57,-0.642644,0.272685,0.715997
47727.770,36125.719,2049.663,0.831,136,126,128,-0.790643,-0.271931,0.548577
47728.242,36124.484,2049.764,1.198,119,110,112,-0.776880,-0.181628,0.602883
47728.383,36122.973,2049.680,1.360,88,81,82,-0.727459,0.041123,0.684918
47729.109,36120.379,2053.924,2.156,32,29,32,0.502548,-0.512565,0.696220
47729.406,36120.527,2051.391,2.123,30,27,29,-0.716530,0.599012,0.357449
47729.645,36120.527,2052.970,2.123,30,27,31,0.796381,-0.474611,0.374862
47728.594,36119.836,2051.621,1.937,30,26,29,-0.522524,0.818468,0.238912
47727.918,36123.734,2053.364,1.920,65,57,57,0.407761,0.223898,0.885212
47728.738,36122.086,2053.774,2.071,43,39,40,0.431562,0.236081,0.870643
47728.922,36120.406,2054.199,2.156,34,30,32,0.445098,-0.313911,0.838658
47728.590,36120.469,2050.642,1.887,38,34,36,-0.562421,0.602955,0.565798
47728.688,36119.887,2052.550,1.937,28,25,28,0.470754,-0.870533,0.143399
47727.824,36122.906,2053.602,1.920,57,51,53,0.255270,0.301421,0.918685
47727.773,36122.328,2053.770,2.037,50,46,48,0.176986,0.258049,0.949782
47728.875,36121.270,2054.369,2.071,42,37,39,0.388539,-0.038195,0.920640
47728.629,36120.027,2053.715,2.156,34,29,30,0.379011,-0.713722,0.589026
47727.129,36122.320,2053.798,1.891,56,49,51,0.142071,0.228096,0.963217
47727.770,36121.668,2054.107,2.037,46,42,43,0.147777,0.099720,0.983981
47726.953,36123.469,2053.625,1.920,98,89,90,0.372029,0.102206,0.922577
47728.492,36120.211,2050.807,1.887,34,31,33,-0.524625,0.711158,0.467999
47726.969,36122.117,2048.453,1.268,116,108,109,-0.707148,0.227353,0.669517
47727.230,36121.355,2049.009,1.702,94,86,88,-0.651471,0.341247,0.677595
47727.469,36120.887,2049.469,1.702,82,76,77,-0.601271,0.467283,0.648167
47727.949,36120.621,2050.077,1.702,48,44,46,-0.521167,0.561646,0.642604
47726.973,36123.305,2048.262,0.859,124,115,116,-0.725056,0.077010,0.684371
47728.094,36119.609,2051.924,1.937,29,26,28,-0.431608,0.899978,0.061269
47728.289,36121.105,2054.477,2.037,45,39,41,0.254389,-0.093319,0.962589
47728.258,36119.785,2053.232,2.033,29,26,28,0.304859,-0.833282,0.461197
47727.863,36120.949,2054.499,2.037,48,42,42,0.168998,-0.093618,0.981160
47727.773,36119.723,2053.370,2.033,40,35,37,0.188396,-0.827435,0.529016
47728.285,36120.172,2054.095,2.033,43,37,38,0.231430,-0.566927,0.790591
47727.848,36119.816,2050.846,1.832,42,38,40,-0.477325,0.806184,0.349612
47727.422,36121.020,2054.340,2.037,54,47,48,0.055096,-0.158253,0.985860
47727.406,36120.543,2054.295,2.037,54,47,47,0.091746,-0.328424,0.940064
47726.938,36120.070,2054.020,1.857,53,47,48,0.046687,-0.621076,0.782358
47727.215,36119.801,2053.723,2.033,47,41,42,0.089304,-0.715896,0.692472
47726.313,36121.215,2048.147,1.197,114,106,108,-0.717169,0.296815,0.630531
47726.770,36120.285,2049.325,1.704,92,84,86,-0.563625,0.597476,0.570395
47727.309,36119.906,2050.252,1.832,79,72,74,-0.521730,0.738980,0.426271
47725.543,36123.434,2046.626,-2.429,131,122,124,-0.771034,0.076669,0.632161
47725.754,36121.859,2047.208,0.407,125,117,119,-0.746370,0.257206,0.613822
47726.340,36122.391,2047.716,0.407,126,117,119,-0.726569,0.123830,0.675843
47726.543,36124.656,2047.851,-2.187,137,127,129,-0.750982,-0.082797,0.655112
47726.789,36120.828,2054.231,1.800,58,50,49,0.020485,-0.242201,0.970010
47725.902,36122.461,2054.303,1.681,109,100,100,0.247307,-0.005974,0.968919
47726.777,36122.949,2053.794,1.920,91,81,84,0.304020,0.107535,0.946577
47727.043,36119.469,2050.746,1.848,72,66,68,-0.445043,0.864440,0.233836
47727.590,36119.547,2051.267,1.832,45,40,42,-0.440382,0.864118,0.243648
47727.328,36119.387,2051.851,1.880,50,45,47,0.357367,-0.933766,0.019213
47727.105,36119.391,2052.561,1.940,48,43,45,0.250548,-0.923448,0.290636
47726.395,36119.109,2050.802,1.940,75,69,71,-0.505158,0.858056,0.092494
47726.848,36119.238,2051.295,1.880,61,55,57,-0.384036,0.920339,0.074112
47726.512,36119.117,2051.870,1.945,61,55,57,0.316888,-0.934059,0.164671
47726.164,36119.129,2052.474,2.020,71,65,66,0.296281,-0.917750,0.264485
47726.387,36119.367,2053.023,2.020,62,56,57,0.175157,-0.866954,0.466595
47726.723,36119.734,2053.763,1.857,53,47,48,0.047085,-0.697710,0.714832
47725.098,36121.598,2046.461,-0.448,124,116,117,-0.771872,0.253099,0.583227
47725.320,36120.668,2047.201,0.884,121,112,114,-0.770799,0.322101,0.549655
47725.602,36119.844,2048.264,1.288,114,106,108,-0.704864,0.498237,0.504903
47725.637,36119.094,2049.352,1.527,98,91,93,-0.640808,0.723084,0.257905
47726.445,36119.395,2050.164,1.848,93,86,87,-0.534504,0.778481,0.329049
47725.859,36121.281,2054.372,1.714,75,69,66,0.095095,-0.234569,0.967437
47725.656,36121.750,2054.438,1.714,98,89,87,0.176715,-0.151288,0.972566
47725.426,36122.160,2054.472,1.679,156,145,144,0.267714,-0.099584,0.958338
47726.273,36120.840,2054.226,1.800,62,56,54,0.059698,-0.285786,0.956432
47724.867,36121.488,2054.502,1.736,137,128,127,0.175867,-0.308805,0.934725
47725.645,36120.242,2054.075,1.955,61,56,56,0.045572,-0.512336,0.857575
47726.051,36119.996,2053.913,1.857,65,59,60,0.052088,-0.572967,0.817921
47726.105,36119.570,2053.481,1.980,63,57,57,0.136419,-0.724071,0.676100
47724.449,36121.016,2054.429,1.957,145,137,137,0.151183,-0.382902,0.911334
47725.168,36119.660,2053.638,1.955,70,64,65,0.113420,-0.620125,0.776261
47725.008,36120.598,2054.245,1.957,86,81,81,0.074141,-0.389579,0.918004
47725.148,36118.832,2052.427,2.121,76,69,70,0.315961,-0.845156,0.431138
47725.309,36119.238,2053.124,2.054,76,70,71,0.218321,-0.772639,0.596125
47725.457,36118.598,2050.579,1.872,76,69,71,0.545521,-0.835902,0.060613
47724.223,36120.055,2045.914,0.733,119,111,113,-0.826735,0.315320,0.465921
47725.484,36118.727,2051.761,1.990,71,64,66,0.430106,-0.867758,0.249009
47724.770,36119.438,2047.323,1.078,115,106,108,-0.792031,0.401661,0.459733
47724.656,36118.391,2048.331,1.553,108,100,102,-0.805566,0.530266,0.264351
47724.785,36118.063,2049.495,1.699,91,84,86,-0.748635,0.658857,0.073850
47726.145,36118.945,2051.260,1.940,67,61,63,0.454952,-0.889655,0.039150
47724.500,36121.934,2045.451,-1.535,125,116,118,-0.798011,0.200652,0.568258
47723.906,36120.367,2054.208,2.361,71,62,64,0.107104,-0.486966,0.866829
47724.520,36118.703,2052.617,2.217,75,68,70,0.348386,-0.785072,0.512143
47724.285,36119.125,2053.259,2.209,71,64,66,0.248332,-0.675400,0.694381
47723.770,36119.410,2053.623,2.430,54,50,53,0.201780,-0.599177,0.774772
47724.020,36119.883,2053.907,2.176,55,50,52,0.111920,-0.550880,0.827046
47723.996,36118.711,2052.899,2.280,79,72,74,0.320880,-0.736895,0.594998
47724.621,36117.832,2050.217,1.842,39,35,37,0.685067,-0.712288,0.152741
47724.313,36117.359,2049.460,1.745,45,41,42,0.782424,-0.618761,0.070346
47724.535,36117.941,2050.929,2.002,46,41,43,0.618804,-0.713005,0.329704
47724.355,36118.156,2051.778,2.098,60,54,56,0.435908,-0.799433,0.413389
47722.742,36118.258,2044.197,-0.230,111,103,105,-0.874212,0.337174,0.349380
47723.223,36118.074,2045.507,1.197,109,101,103,-0.856137,0.360723,0.370012
47723.953,36118.234,2046.971,1.235,109,101,103,-0.827288,0.409690,0.384381
47723.898,36117.398,2047.872,1.387,76,70,72,-0.833455,0.495775,0.244050
47723.285,36119.352,2044.552,-0.665,118,109,111,-0.867451,0.339304,0.363869
47724.961,36118.348,2051.262,2.062,57,52,54,0.523009,-0.805717,0.277996
47723.863,36116.938,2050.329,2.067,34,30,32,0.693953,-0.628640,0.351058
47723.961,36117.266,2050.621,1.931,37,33,35,0.669946,-0.653566,0.352172
47723.539,36117.445,2051.568,2.337,37,33,35,0.575507,-0.656045,0.488258
47723.773,36118.215,2052.405,2.320,69,63,64,0.443610,-0.712767,0.543298
47723.227,36118.684,2053.189,2.544,72,66,68,0.328679,-0.590975,0.736695
47723.766,36116.594,2048.980,1.678,29,26,28,0.813082,-0.581952,0.015134
47724.184,36117.238,2049.977,1.931,34,31,33,0.789683,-0.607114,0.088387
47723.297,36116.141,2050.445,2.183,28,25,27,0.719298,-0.619081,0.315198
47723.230,36116.898,2051.253,2.345,33,30,31,0.672921,-0.592772,0.442492
47723.230,36115.863,2049.293,1.878,29,26,27,0.786264,-0.613142,0.076462
47722.707,36115.320,2049.768,2.135,28,25,26,0.756699,-0.620524,0.205810
47722.805,36118.090,2052.945,2.650,63,58,60,0.472526,-0.535975,0.699606
47723.617,36116.297,2049.896,1.984,30,26,28,0.769792,-0.619148,0.155164
47722.137,36117.707,2043.168,-0.354,109,101,103,-0.882801,0.342557,0.321430
47722.305,36116.840,2044.546,0.847,100,92,94,-0.868534,0.378356,0.320148
47722.555,36115.059,2048.670,1.565,27,24,26,-0.810210,0.586138,0.001366
47722.453,36117.953,2053.042,2.667,53,49,50,0.454657,-0.464505,0.759949
47722.973,36116.770,2046.379,1.145,80,74,76,-0.840397,0.444366,0.310277
47722.492,36118.656,2053.407,2.694,66,60,62,0.344621,-0.501704,0.793429
47722.199,36116.586,2052.073,2.521,46,42,43,0.711699,-0.429674,0.555756
47722.594,36117.547,2052.701,2.667,52,48,48,0.511509,-0.458537,0.726707
47722.957,36116.012,2050.814,2.183,32,28,30,0.726485,-0.582821,0.364059
47722.379,36114.855,2049.330,2.014,27,24,26,0.779667,-0.613338,0.126232
47722.598,36115.395,2050.401,2.135,25,23,25,0.747122,-0.596737,0.292769
47722.910,36115.688,2048.104,1.458,27,25,25,-0.819284,0.562254,0.112451
47721.543,36116.172,2043.117,0.013,97,90,91,-0.890490,0.359478,0.278931
47721.957,36114.363,2049.584,2.014,25,22,24,0.772801,-0.611864,0.168528
47722.445,36115.613,2050.938,2.405,31,28,30,0.739893,-0.556961,0.377296
47721.805,36116.098,2052.336,2.515,46,42,43,0.731106,-0.389376,0.560241
47721.793,36117.203,2053.139,2.712,45,42,43,0.560092,-0.290360,0.775879
47721.570,36115.207,2044.542,0.663,78,72,74,-0.880224,0.397375,0.259419
47721.645,36114.578,2051.042,2.290,32,28,29,0.779798,-0.551100,0.296990
47721.578,36115.672,2052.854,2.515,42,37,39,0.755561,-0.292321,0.586239
47721.105,36115.926,2053.586,2.566,40,37,39,0.569076,-0.122050,0.813176
47721.609,36115.398,2052.177,2.507,44,38,40,0.788423,-0.403116,0.464636
47721.305,36115.148,2053.028,2.528,40,36,39,0.776970,-0.269497,0.568937
47721.508,36113.473,2048.117,1.564,21,19,20,0.880777,-0.471113,0.047794
47721.574,36113.664,2048.603,1.922,22,19,21,0.858755,-0.505067,0.086300
47721.098,36114.031,2044.757,0.873,25,23,25,-0.880802,0.402268,0.249735
47721.785,36114.422,2046.602,1.136,30,29,29,-0.880279,0.432030,0.196109
47720.883,36115.270,2042.083,0.013,91,84,85,-0.897170,0.366823,0.246022
47720.957,36114.609,2043.341,0.513,79,73,74,-0.893104,0.377681,0.244382
47720.629,36113.801,2052.908,2.550,29,27,29,0.818311,-0.373404,0.436962
47720.766,36115.070,2053.689,2.544,37,34,36,0.600682,-0.174882,0.780126
47721.098,36113.461,2045.612,1.034,27,25,27,-0.907896,0.368066,0.200632
47721.082,36114.031,2051.489,2.464,35,33,35,0.826687,-0.509560,0.238615
47720.566,36113.570,2052.624,2.499,28,26,28,0.849089,-0.414455,0.327528
47720.367,36110.941,2045.967,1.089,23,22,24,-0.942945,0.280557,0.179283
47721.117,36113.527,2050.123,2.136,23,21,22,0.804002,-0.550919,0.223762
47721.133,36113.000,2048.818,1.801,24,21,22,0.863128,-0.477882,0.163215
47721.117,36112.910,2046.435,1.085,19,18,19,-0.933270,0.330276,0.141155
47720.383,36112.066,2049.767,1.891,23,20,22,0.896961,-0.377281,0.230479
47719.898,36112.148,2043.375,0.685,22,20,22,-0.901388,0.364952,0.233042
47720.848,36113.227,2045.144,0.775,23,21,24,-0.894686,0.368226,0.252878
47720.320,36113.809,2042.190,0.161,77,71,72,-0.901132,0.377049,0.214001
47720.480,36113.184,2051.258,2.427,27,24,27,0.864773,-0.464278,0.191348
47720.512,36111.633,2045.717,1.089,21,20,22,-0.923065,0.322859,0.209076
47720.289,36113.035,2051.875,2.427,25,23,25,0.867987,-0.454093,0.200992
47720.387,36110.797,2047.852,1.644,26,22,24,0.926036,-0.358067,0.119356
47720.535,36114.398,2053.563,2.581,37,34,36,0.673954,-0.272450,0.686700
47719.953,36112.578,2053.097,2.578,29,26,29,0.845465,-0.275662,0.457383
47720.477,36112.758,2050.253,2.147,26,24,26,0.874781,-0.433665,0.216087
47720.172,36115.938,2053.896,2.527,43,36,38,0.423416,-0.014420,0.905821
47720.438,36113.020,2050.728,2.318,26,23,26,0.862965,-0.459151,0.210881
47720.102,36113.406,2053.621,2.628,33,30,33,0.775133,-0.308455,0.551383
47719.805,36114.395,2054.180,2.575,44,38,41,0.385042,-0.091158,0.918386
47719.707,36112.215,2053.333,2.680,31,28,30,0.794509,-0.278472,0.539637
47719.777,36112.781,2041.658,0.071,70,64,66,-0.916445,0.365731,0.162390
47719.766,36112.313,2042.607,0.581,34,31,33,-0.915038,0.350836,0.199046
47719.988,36111.863,2044.061,0.737,19,17,19,-0.908467,0.291119,0.299896
47720.102,36112.641,2052.415,2.510,25,24,26,0.906333,-0.338228,0.253305
47719.473,36113.668,2054.227,2.609,46,39,41,0.481635,-0.156641,0.862259
47720.258,36112.594,2050.693,2.269,23,21,24,0.888465,-0.414227,0.197599
47719.324,36114.211,2054.275,2.681,46,39,42,0.396226,-0.054698,0.916522
47720.316,36110.418,2046.803,1.295,24,21,24,-0.940324,0.340224,0.006277
47720.281,36110.391,2047.313,1.533,24,22,24,0.939253,-0.339067,0.053263
47719.566,36110.859,2043.790,0.794,18,16,19,-0.937295,0.193013,0.290214
47720.211,36111.625,2049.820,2.173,23,21,23,0.907690,-0.363366,0.209912
47720.156,36111.770,2050.468,2.323,22,22,24,0.924546,-0.333512,0.184346
47719.730,36110.617,2051.092,2.355,24,21,24,0.941345,-0.315572,0.119515
47720.016,36112.352,2052.506,2.510,27,24,27,0.903612,-0.322824,0.281550
47720.098,36110.234,2045.707,1.129,22,20,21,-0.961526,0.231551,0.147826
47719.957,36109.254,2046.906,1.494,26,22,25,0.936449,-0.349075,0.034779
47720.219,36112.738,2051.482,2.427,23,21,24,0.897217,-0.396986,0.193403
47720.012,36111.805,2052.012,2.468,23,21,24,0.928742,-0.301099,0.216282
47719.395,36111.742,2041.858,0.526,44,40,42,-0.933087,0.310102,0.182168
47719.270,36111.582,2053.704,2.680,40,36,38,0.693442,-0.206326,0.690339
47719.336,36112.430,2053.995,2.707,41,35,37,0.631656,-0.236675,0.738238
47719.605,36111.699,2053.230,2.680,30,28,30,0.783758,-0.297288,0.545292
47719.703,36109.891,2044.562,1.026,21,19,20,-0.957097,0.154883,0.244900
47719.898,36109.133,2046.458,1.282,25,22,24,0.937948,-0.346495,0.013961
47719.648,36109.668,2048.888,1.946,28,23,23,0.891263,-0.409893,0.194006
47719.438,36109.934,2051.093,2.370,29,26,28,0.902965,-0.418987,0.095413
47719.391,36108.543,2043.537,1.091,24,20,22,-0.979444,0.068839,0.189609
47719.605,36109.270,2044.329,1.026,24,19,21,-0.972831,0.112008,0.202621
47719.613,36108.234,2046.371,1.416,30,27,29,0.896491,-0.436540,0.075740
47719.703,36110.277,2049.795,2.034,24,20,22,0.909861,-0.386302,0.151408
47719.734,36109.273,2044.828,1.116,24,20,21,-0.965182,0.183658,0.186263
47719.172,36111.457,2040.996,0.348,60,54,56,-0.954186,0.278795,0.108638
47719.445,36107.813,2043.968,1.214,33,28,29,-0.959579,0.273258,0.067361
47719.742,36108.797,2045.384,1.187,24,21,23,-0.945060,0.326703,0.011266
47719.637,36108.328,2045.764,1.278,28,25,27,0.932576,-0.360459,0.019242
47718.906,36108.965,2051.372,2.517,32,28,31,0.838549,-0.528300,0.133173
47719.371,36109.809,2051.836,2.541,35,30,33,0.892518,-0.418052,0.169246
47719.398,36107.926,2043.584,1.214,31,28,28,-0.968711,0.201441,0.144986
47719.160,36107.094,2042.801,1.117,30,27,28,-0.958151,0.227245,0.174088
47719.020,36110.836,2041.385,0.520,30,27,29,-0.955385,0.251137,0.155466
47718.941,36107.285,2041.811,1.097,29,26,27,-0.960040,0.175633,0.217891
47719.172,36110.785,2042.762,0.749,19,17,19,-0.942965,0.216758,0.252654
47719.445,36107.793,2044.656,1.171,30,25,27,-0.939851,0.341187,0.016489
47719.387,36107.785,2045.511,1.270,28,25,27,0.899854,-0.436174,0.003929
47719.461,36107.996,2046.488,1.416,28,25,26,0.858004,-0.501580,0.110664
47718.887,36111.266,2053.968,2.856,43,38,39,0.638196,-0.136009,0.757765
47719.145,36108.832,2049.323,2.213,32,26,27,0.842530,-0.494627,0.213279
47718.555,36109.512,2053.838,2.835,31,26,29,0.714918,-0.300426,0.631377
47719.125,36110.320,2042.921,0.825,17,15,17,-0.952748,0.170661,0.251289
47719.078,36106.805,2043.288,1.155,33,28,29,-0.917816,0.391046,0.068534
47717.574,36112.230,2054.758,2.783,53,45,45,0.259932,-0.025627,0.965287
47717.695,36110.883,2054.461,2.857,45,39,38,0.390154,-0.065696,0.918403
47719.242,36109.188,2049.708,2.164,29,24,25,0.866499,-0.464987,0.181566
47718.566,36110.480,2054.135,2.835,43,37,38,0.618199,-0.171638,0.767053
47719.074,36109.727,2042.889,0.825,18,15,18,-0.967235,0.058357,0.247086
47718.629,36109.262,2053.452,2.811,42,37,38,0.735908,-0.331563,0.590344
47718.023,36108.816,2054.083,2.811,37,31,33,0.612617,-0.292712,0.734180
47719.105,36110.004,2053.187,2.690,38,34,35,0.815638,-0.327839,0.476713
47718.566,36107.555,2040.561,0.952,36,32,33,-0.947723,0.126987,0.292738
47718.637,36106.922,2041.146,1.110,28,24,25,-0.937123,0.204691,0.282669
47718.699,36108.398,2040.980,0.944,26,22,24,-0.976182,0.008203,0.216799
47718.828,36108.379,2041.612,1.021,26,22,24,-0.973716,0.034905,0.225074
47718.602,36108.090,2040.531,0.681,37,33,34,-0.949967,0.076673,0.302794
47718.793,36107.613,2041.378,0.944,28,24,25,-0.957585,0.135669,0.254214
47717.777,36110.320,2054.553,2.857,45,39,38,0.413877,-0.122059,0.902113
47718.457,36108.570,2052.477,2.765,45,39,41,0.793175,-0.556313,0.247770
47718.594,36106.051,2042.004,1.206,28,26,27,-0.911341,0.398453,0.103405
47719.020,36106.840,2043.999,1.223,32,27,29,0.877136,-0.476554,0.059397
47718.047,36109.902,2054.599,2.835,45,39,39,0.523805,-0.129857,0.841882
47718.953,36107.598,2047.024,1.655,31,27,27,0.804946,-0.570233,0.163998
47718.328,36107.504,2049.125,2.106,35,29,30,0.792234,-0.573793,0.207673
47717.477,36109.820,2054.681,2.951,51,45,45,0.358066,-0.110279,0.927161
47718.047,36107.785,2051.340,2.616,31,28,29,0.774572,-0.611504,0.161558
47717.484,36108.102,2053.890,2.981,41,35,35,0.509863,-0.513206,0.690405
47717.484,36108.867,2054.669,2.951,41,36,37,0.438838,-0.267584,0.857799
47717.281,36108.996,2054.782,2.951,48,42,43,0.344693,-0.201667,0.916797
47718.031,36105.883,2039.962,1.215,36,32,32,-0.919167,0.281378,0.275606
47718.301,36105.965,2041.059,1.110,27,23,24,-0.911362,0.373929,0.172036
47718.766,36109.863,2040.967,0.656,33,29,31,-0.984912,0.121165,0.123564
47718.844,36110.191,2041.302,0.520,21,19,21,-0.982524,0.142095,0.120235
47718.711,36109.246,2040.857,0.656,25,22,23,-0.982938,0.063146,0.172759
47718.848,36109.559,2041.909,0.736,18,17,19,-0.974273,0.067573,0.215003
47718.645,36108.559,2040.568,0.681,35,31,32,-0.974990,0.017770,0.221535
47717.641,36107.793,2052.978,2.870,55,50,51,0.697062,-0.625234,0.350980
47717.316,36108.195,2054.207,2.981,39,33,34,0.488158,-0.514815,0.704746
47718.395,36106.582,2045.660,1.292,31,27,30,0.786407,-0.596220,0.161508
47717.773,36105.020,2040.396,1.309,26,22,23,-0.873098,0.479431,0.088575
47717.844,36104.891,2043.160,1.486,22,18,19,0.818182,-0.566211,0.099920
47718.383,36105.797,2043.546,1.307,30,26,27,0.854062,-0.510720,0.098711
47718.145,36105.387,2041.596,1.238,22,19,20,-0.888578,0.446401,0.105615
47716.711,36109.512,2054.765,2.951,52,45,44,0.260441,-0.093656,0.960937
47717.770,36107.102,2049.854,2.388,31,27,27,0.750683,-0.634012,0.185752
47717.656,36104.801,2043.664,1.486,26,22,23,0.783831,-0.599578,0.161599
47717.426,36104.555,2039.468,1.512,28,23,24,-0.882415,0.461550,0.091188
47716.805,36106.738,2052.412,2.854,45,41,43,0.669863,-0.689048,0.276578
47717.578,36107.406,2051.916,2.781,45,42,43,0.731054,-0.650343,0.206433
47716.168,36106.754,2053.648,3.063,47,39,39,0.574113,-0.667845,0.473685
47717.949,36105.316,2044.107,1.348,30,26,27,0.781690,-0.595791,0.184375
47717.742,36105.852,2046.080,1.600,37,34,34,0.740272,-0.634296,0.222861
47716.926,36103.656,2041.990,1.719,29,23,24,0.776175,-0.627515,0.061465
47716.949,36103.602,2039.506,1.602,27,23,23,0.856465,-0.514431,0.042754
47717.441,36106.848,2050.266,2.507,29,25,26,0.743253,-0.645577,0.175512
47716.449,36106.852,2053.424,3.063,43,37,38,0.567036,-0.674087,0.473367
47716.547,36105.063,2047.338,2.178,45,41,41,0.672190,-0.697496,0.248315
47716.617,36107.945,2054.457,3.110,46,38,38,0.372487,-0.429549,0.822642
47715.656,36109.313,2054.799,3.153,59,50,50,0.150300,-0.074558,0.985825
47715.160,36108.566,2054.976,3.153,61,54,54,0.108961,-0.130514,0.985441
47717.227,36103.969,2041.364,1.627,24,20,20,-0.820301,0.571891,0.006824
47717.367,36105.188,2045.364,1.594,33,29,31,0.738047,-0.627890,0.247065
47716.383,36102.559,2039.233,1.613,29,25,25,0.843823,-0.512796,0.158124
47716.773,36106.445,2051.337,2.720,35,32,32,0.676116,-0.707202,0.206720
47716.414,36103.926,2044.898,1.836,32,27,29,0.698051,-0.666250,0.262366
47716.535,36102.957,2040.241,1.646,26,21,22,0.823836,-0.557429,0.102799
47715.832,36102.477,2042.198,1.824,32,28,28,0.754183,-0.631801,0.178985
47717.152,36104.535,2044.492,1.608,32,27,27,0.741118,-0.628305,0.236594
47716.133,36101.926,2038.517,1.636,29,25,25,0.841068,-0.499809,0.206870
47715.676,36105.441,2051.253,2.719,32,29,30,0.624702,-0.749331,0.219658
47716.039,36102.227,2040.064,1.673,29,25,25,0.834698,-0.520000,0.181326
47714.688,36109.203,2054.879,3.155,80,71,74,0.154504,-0.110708,0.981770
47714.172,36108.039,2054.946,3.197,62,55,54,0.173706,-0.176279,0.968892
47714.219,36108.664,2054.927,3.127,69,62,63,0.157512,-0.132707,0.978560
47715.191,36106.867,2054.510,3.229,45,37,38,0.247325,-0.412208,0.876878
47715.379,36106.352,2053.910,3.116,46,39,38,0.475334,-0.592907,0.650015
47714.434,36103.996,2049.782,2.454,37,32,33,0.643640,-0.734031,0.216625
47715.750,36101.203,2038.684,1.612,30,25,25,0.838144,-0.473868,0.270120
47715.922,36101.707,2039.180,1.610,30,26,25,0.836029,-0.505259,0.213938
47716.156,36104.281,2046.354,2.067,35,31,32,0.679518,-0.679518,0.276604
47715.566,36100.680,2038.285,1.630,31,26,25,0.842223,-0.454459,0.290047
47715.184,36105.516,2052.766,2.954,35,30,31,0.575045,-0.713451,0.400389
47715.473,36100.918,2039.365,1.619,31,25,24,0.829527,-0.484020,0.278584
47714.805,36105.453,2053.256,2.954,38,32,32,0.533368,-0.687192,0.493240
47715.242,36101.168,2040.399,1.685,27,23,23,0.798045,-0.552253,0.241125
47715.523,36101.816,2041.070,1.685,28,24,23,0.782308,-0.584802,0.214479
47714.695,36101.156,2041.965,1.789,22,19,19,0.736432,-0.639902,0.219528
47713.559,36108.461,2054.883,3.107,74,67,66,0.151563,-0.131848,0.979615
47712.750,36106.918,2054.916,3.050,61,54,55,0.185327,-0.247554,0.950984
