//X,Y,Z,M3C2 distance,R,G,B,Nx,Ny,Nz
47729.820,36123.711,2051.763,1.706,49,44,43,-0.927142,-0.317515,0.198976
47729.383,36124.863,2052.304,1.545,58,51,50,0.850038,0.436590,0.294659
47729.363,36124.324,2051.296,1.706,69,63,63,-0.882248,-0.396937,0.253141
47729.617,36123.500,2051.300,1.867,55,50,50,-0.889814,-0.316612,0.328616
47729.410,36124.719,2051.751,1.689,64,57,57,-0.899696,-0.435935,0.022526
47730.168,36122.348,2051.686,1.973,37,34,36,-0.986790,-0.064381,0.148662
47730.418,36122.012,2052.334,2.058,34,32,35,0.969064,-0.005960,0.246736
47729.648,36123.391,2052.771,1.955,43,38,38,0.719011,0.272618,0.639298
47728.945,36125.281,2052.496,1.545,62,53,52,0.792106,0.355082,0.496472
47730.156,36122.379,2052.741,2.058,38,35,36,0.936147,0.026967,0.350574
47729.914,36121.488,2051.335,1.973,32,28,31,-0.906753,0.240925,0.346055
47730.398,36121.316,2052.324,2.058,33,30,32,0.965702,-0.248036,0.076803
47728.496,36123.430,2049.809,1.234,99,92,94,-0.751545,-0.058692,0.657065
47728.828,36122.191,2050.208,1.789,50,45,46,-0.703874,0.095515,0.703874
47728.406,36125.734,2050.676,1.027,112,103,104,-0.872257,-0.379044,0.309020
47729.633,36122.430,2051.087,1.973,49,44,45,-0.869290,-0.082856,0.487308
47729.023,36125.445,2051.929,1.545,90,82,81,0.896405,0.439361,0.058491
47728.461,36125.016,2050.252,1.299,106,97,98,-0.822682,-0.309882,0.476621
47728.766,36123.910,2050.231,1.662,74,68,68,-0.807306,-0.180243,0.561934
47730.184,36121.359,2052.985,2.150,33,30,32,0.909164,-0.127479,0.396446
47728.832,36124.543,2052.946,1.722,54,46,45,0.592805,0.242440,0.767988
47729.793,36122.102,2053.168,2.150,39,34,37,0.851391,0.065923,0.520372
47729.402,36120.809,2051.145,1.887,31,27,30,-0.750157,0.531157,0.393873
47729.879,36120.703,2051.905,2.123,32,28,30,-0.818473,0.567302,0.090941
47728.898,36121.309,2050.459,1.795,42,38,40,-0.621520,0.409374,0.667927
47729.422,36121.359,2050.950,1.795,33,29,32,-0.786362,0.348958,0.509768
